,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
MYBPC1,2.818124859887766,0.13787442276049938,19.311952551592977,8.239738916620266e-71,8.52975043128392e-70,150.2088839953109,LumB_vs_Normal
SNORA42,2.1861174338686595,-0.6572199341985235,19.285799113526515,1.1906745828201767e-70,1.2300357260539017e-69,149.84177869417306,LumB_vs_Normal
IGHM,1.4143620633316083,-2.6411669103640025,19.25768419957475,1.7682948226921865e-70,1.822984353290914e-69,149.44739339369636,LumB_vs_Normal
MIR4484,1.5470558194180044,-2.584130101245505,19.15768545243645,7.203685054301994e-70,7.411198615537032e-69,148.04678177013602,LumB_vs_Normal
DSCAM-AS1,1.4862886996747,-2.044518485349778,19.07968637958139,2.149565688229819e-69,2.206946291817063e-68,146.95663406174359,LumB_vs_Normal
DQ590295,1.5461976268852813,6.475370632158339,19.052823789353315,3.13085741249485e-69,3.207845709523412e-68,146.5816678030855,LumB_vs_Normal
MIA,2.0117589080552634,1.0977504430084037,19.01591448578589,5.246658578588806e-69,5.353733243457965e-68,146.06686312047194,LumB_vs_Normal
SNAR-G1,1.5973466511536902,2.385341441192673,18.984806140846114,8.104131537520876e-69,8.252679773442846e-68,145.63333050487404,LumB_vs_Normal
MIR7110,1.698978058094778,-1.710371086990641,18.92841812899748,1.7807774675562507e-68,1.8060623403207412e-67,144.8483414815697,LumB_vs_Normal
MSMB,3.568772021235486,3.7343647097236934,18.859684562924844,4.642255606714248e-68,4.689147077489139e-67,143.8929719460459,LumB_vs_Normal
DL492225,1.8394583286844262,-1.038629805701146,18.85111333551554,5.230828805368879e-68,5.273012908637982e-67,143.77395021864186,LumB_vs_Normal
MIR3653,2.262243756446457,2.008553319623678,18.839771441435957,6.125659790188188e-68,6.162635603811054e-67,143.6164937958813,LumB_vs_Normal
MIR5703,2.84061393485766,1.5368661237997412,18.7949798772879,1.1423788796607e-67,1.1469667466472892e-66,142.99510354083594,LumB_vs_Normal
CHGB,1.6245197082178506,0.03062106719211991,18.782912465031735,1.3510670575473018e-67,1.3537746067608234e-66,142.82781323353356,LumB_vs_Normal
MIR6751,1.560219535559482,-1.6640415736569811,18.768529419303487,1.650051046300626e-67,1.650051046300626e-66,142.62848809563712,LumB_vs_Normal
AK026846,1.3870379730375955,-1.0867966766799448,18.763172323145543,1.7775689196963564e-67,1.7740208779404757e-66,142.55426621328715,LumB_vs_Normal
TRNA_Ala,1.794528496035164,1.4831242728574712,18.760097265728124,1.8551621569180872e-67,1.847771072627577e-66,142.51166624503176,LumB_vs_Normal
CLIC6,1.671707348990769,-2.0603188688405423,18.75286282832263,2.051304194837815e-67,2.0390697761807306e-66,142.41145788726158,LumB_vs_Normal
FABP7,1.7352172055641804,-0.4094600702413401,18.749797163841762,2.140543341797946e-67,2.1235549025773276e-66,142.36899916168196,LumB_vs_Normal
PEG10,2.8841903953980856,1.6858683220404982,18.716876787973852,3.380880222407684e-67,3.347406160799687e-66,141.91326864165066,LumB_vs_Normal
MIR6890,3.9552620564086896,-1.3286183896918982,18.678315979972066,5.7721364922017536e-67,5.681236704922986e-66,141.3799426288368,LumB_vs_Normal
P27_CRE,1.1060169711721235,-2.186487198952625,18.67663329030846,5.908383272089616e-67,5.803912840952472e-66,141.35668172673505,LumB_vs_Normal
TRNA_Tyr,1.8154185666165263,8.163356287078717,18.613305288375354,1.420604007710442e-66,1.390023490910413e-65,140.48199084582532,LumB_vs_Normal
MIR6752,2.3819244929161463,1.1665392558008154,18.60681606563979,1.5541027040779904e-66,1.5176784219511626e-65,140.39244210359072,LumB_vs_Normal
SLITRK6,2.0923059591935713,-0.7609096733727104,18.54811202601185,3.4998830033200784e-66,3.411192011033215e-65,139.58303566920907,LumB_vs_Normal
KRT5,2.1001027975931374,0.7058144456833388,18.547039457816556,3.5521422916781303e-66,3.455391334317247e-65,139.56825871580688,LumB_vs_Normal
CLCA2,1.2772336838826412,-0.6539202372791979,18.545012386639467,3.6530445991395355e-66,3.546645241883044e-65,139.54033254578232,LumB_vs_Normal
MIR103A2,2.140260857522863,-1.0385946642063997,18.53802106657265,4.023514392348987e-66,3.898754256152119e-65,139.44402721985477,LumB_vs_Normal
MIR5691,1.4974744405374039,-2.1591217735138586,18.516771069198732,5.39593808151954e-66,5.21850878290091e-65,139.15141715459671,LumB_vs_Normal
FLJ00385,1.518969345094909,-0.5786786295704219,18.50203417549441,6.61333068212466e-66,6.383523824444652e-65,138.94858766928812,LumB_vs_Normal
SnoU109,1.5885557230100087,-1.9873917742335578,18.474330627763393,9.692185422576287e-66,9.319409060169507e-65,138.5675062505546,LumB_vs_Normal
BC034020,1.474002833750466,0.6231741267188524,18.46854360016546,1.0497425443615704e-65,1.0074304648383593e-64,138.48793687771098,LumB_vs_Normal
MIR6784,1.4038184386139654,-2.273469032355833,18.454965736965264,1.265861110404842e-65,1.2125106421502319e-64,138.30129437218244,LumB_vs_Normal
AY006115,1.1113195994121197,-2.8223243727067273,18.439768066899877,1.5608252462555723e-65,1.4921847478542757e-64,138.09246549538028,LumB_vs_Normal
AK310094,1.9490651487358441,-1.6149325129480634,18.42287875035479,1.9697247277338525e-65,1.8795083279903174e-64,137.86049081529237,LumB_vs_Normal
SNORD19,1.940199717035971,0.9424783483027828,18.36372560804961,4.446032495223815e-65,4.234316662117919e-64,137.0488460082589,LumB_vs_Normal
CBLN2,1.302360986281414,3.7875028720486608,18.360215311386987,4.66591467871021e-65,4.4352801128424046e-64,137.00072133898388,LumB_vs_Normal
JA700161,2.7756437564985177,0.12628970967535594,18.330966747522094,6.974911889237282e-65,6.617563462274461e-64,136.5999125043595,LumB_vs_Normal
STAC2,2.707691829128983,-0.8197549131901634,18.29825773547217,1.093041988192307e-64,1.035077640333624e-63,136.1520574916409,LumB_vs_Normal
ST8SIA6-AS1,1.813277155409787,2.6977978365851802,18.28009968804403,1.4023928730676724e-64,1.3255131125403331e-63,135.9036067773836,LumB_vs_Normal
TRNA_Thr,1.6369013902200003,6.3893923569249855,18.24661892678368,2.219712304624982e-64,2.0940682119103602e-63,135.445821496066,LumB_vs_Normal
SNORA71B,1.5596179346345416,1.4638716149049518,18.22028080066174,3.184581172234062e-64,2.9986640039868756e-63,135.0859916064407,LumB_vs_Normal
MIR1227,1.310615976559056,-1.4276241705473223,18.220046353309503,3.194825729219229e-64,3.0026557605443875e-63,135.08278976412726,LumB_vs_Normal
MIR4512,1.943826245794403,-1.0220892484991224,18.2024347351424,4.066329689063777e-64,3.8145681886151755e-63,134.84232706594412,LumB_vs_Normal
MIR4530,1.571447981869125,1.816680481351134,18.181183173438278,5.439287749871891e-64,5.092966057932483e-63,134.5523205765984,LumB_vs_Normal
SNORA81,1.4912875839388093,3.800843176880229,18.1740630596695,5.995900453781349e-64,5.603645283907803e-63,134.45519483100801,LumB_vs_Normal
SNORA64,2.023772674060524,-1.8830391134599693,18.165777620984333,6.715549944522277e-64,6.252839799368974e-63,134.3421968227773,LumB_vs_Normal
SNORD55,1.6400450053921578,4.314574744554291,18.154142468788574,7.873937862988727e-64,7.317786118019263e-63,134.18355852455588,LumB_vs_Normal
CRISP3,1.6813545488080788,-0.1056853628691284,18.151394625771445,8.175426105217607e-64,7.583883214487576e-63,134.14610077699336,LumB_vs_Normal
MUC6,2.3438665618531065,0.29333406832295256,18.119142842671213,1.270427809692776e-63,1.1763220460118295e-62,133.70666723841447,LumB_vs_Normal
SNORD13,1.5610530317639182,-1.8309019741195447,18.118854765064174,1.2754375403694865e-63,1.1787777637425938e-62,133.70274392381833,LumB_vs_Normal
