,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
MIR7110,1.564970599939001,0.18468336042880057,14.9480209828733,6.4830559291583916e-43,6.575107433223522e-42,86.49945823070159,Her2_vs_Normal
MIR5047,1.3292339480073858,-0.527707085361068,14.936415225455207,7.349434952647138e-43,7.438699344784553e-42,86.3746061027138,Her2_vs_Normal
MSMB,1.2664442413541188,-1.9787055397482376,14.905654661550438,1.0245825355429473e-42,1.0331908981793042e-41,86.04389728869843,Her2_vs_Normal
DL492225,1.3673358153031963,2.4275329494116273,14.90562367355152,1.0249253709938698e-42,1.0331908981793042e-41,86.04356428618833,Her2_vs_Normal
MIR3653,2.3304201781482417,0.6902439493181393,14.8782452486,1.377246102743814e-42,1.3855594595008188e-41,85.74947039494062,Her2_vs_Normal
MIR5703,1.6424785729482538,1.5523626754079223,14.874851583664492,1.4285982078941857e-42,1.434335550094564e-41,85.71303294151414,Her2_vs_Normal
CHGB,3.0653753528936596,2.3009534630532005,14.874159838434451,1.4392975183985756e-42,1.4421818821629013e-41,85.70560619115373,Her2_vs_Normal
MIR6751,2.5708475610964228,0.06735123880514168,14.85263663570924,1.8152776971477954e-42,1.8152776971477955e-41,85.4746041828607,Her2_vs_Normal
AK026846,2.563262446871636,2.252437593574515,14.844573342757537,1.9800986844775053e-42,1.9761463916941172e-41,85.38810153391533,Her2_vs_Normal
TRNA_Ala,1.3266633437419273,2.740205853273059,14.841336632462012,2.050383763039559e-42,2.0422149034258556e-41,85.35338412073916,Her2_vs_Normal
CLIC6,1.1218364998881656,-1.8456752100323843,14.827501916383104,2.3799484470205423e-42,2.365753923479664e-41,85.20502895960756,Her2_vs_Normal
FABP7,1.3210869898040403,1.5785382045767689,14.823031483252057,2.4973475313852567e-42,2.477527312882199e-41,85.15710389649043,Her2_vs_Normal
PEG10,1.1826190352737904,2.0222897112573692,14.792871268859871,3.455316007176764e-42,3.421104957600756e-41,84.83394128302866,Her2_vs_Normal
DQ588120,2.076240028336084,0.019200560191325065,14.760667342393987,4.885535541003534e-42,4.827604289529183e-41,84.48920574570374,Her2_vs_Normal
