,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
MIRLET7I,1.9271518557206841,0.9485275783973207,31.383089959553367,3.400857434209115e-177,3.99161670681821e-176,394.32168497770374,Basal_vs_LumA
SNORA58,2.051821158457107,1.4231766264163936,31.280133672846446,3.0408254454773287e-176,3.544085600789428e-175,392.13336104125483,Basal_vs_LumA
VTRNA1-3,2.475496621912886,7.958549075740685,31.278051566541112,3.178487061386637e-176,3.69591518765888e-175,392.0891326060007,Basal_vs_LumA
SCGB3A1,1.81657154759998,3.9572798051891853,31.27692694314331,3.255416319512939e-176,3.776585057439604e-175,392.0652436142461,Basal_vs_LumA
MIR5585,2.1470646139546,-0.8784465804761448,31.268800698804473,3.869455257896208e-176,4.4785361781206113e-175,391.8926369412425,Basal_vs_LumA
IGH,1.5556347119817384,1.340085021541913,31.156056310930403,4.247061769050627e-175,4.859338408524745e-174,389.499537213027,Basal_vs_LumA
SNORA6,2.8699106968392867,3.30108953122757,31.127126818029634,7.849481043662584e-175,8.899638371499528e-174,388.8859859014103,Basal_vs_LumA
MIRLET7D,2.121698207827013,2.217695395050599,31.115843751630344,9.973678423960441e-175,1.1282441656063847e-173,388.6467448706495,Basal_vs_LumA
CDR3,1.5659116474095442,5.146761387912208,30.988675678145285,1.4798791449169453e-173,1.6590573373508354e-172,385.9525134385383,Basal_vs_LumA
ADH1B,3.3746773221503603,0.48685123100964817,30.966391697591412,2.3730610408053837e-173,2.654430694413181e-172,385.4808115529827,Basal_vs_LumA
RNU11,2.740528038814241,1.5796694181516815,30.882996928970776,1.3877909099884502e-172,1.545424175933686e-171,383.7166379595885,Basal_vs_LumA
VTRNA1-1,3.644190716291661,3.3913201797884294,30.753490158506285,2.147535032138013e-171,2.380859237403562e-170,380.9804769491385,Basal_vs_LumA
MIR193A,1.5978521206165741,2.611681116968936,30.6601474321493,1.5424559392477625e-170,1.706256569964339e-169,379.01103127786973,Basal_vs_LumA
SNORA22,3.2983898186424137,-0.31829176105490437,30.65960105163405,1.560350238098777e-170,1.7222408809037273e-169,378.9995097523487,Basal_vs_LumA
MIR614,2.464209615535444,3.049807397538456,30.64825924440823,1.982432856405567e-170,2.183296097362959e-169,378.7603624791391,Basal_vs_LumA
SNORA38B,1.784328872920435,1.7331705990956867,30.575922236921812,9.120346785277307e-170,9.978497576889832e-169,377.2358866340405,Basal_vs_LumA
MIR7-1,1.8389468495521448,0.8195768198099729,30.497414990255834,4.7719338694078867e-169,5.198185042927981e-168,375.5829161076979,Basal_vs_LumA
TNNT1,4.0552389560814195,2.3114715778061687,30.4859113375051,6.080570380187626e-169,6.609315630638724e-168,375.3408420496447,Basal_vs_LumA
MIR6812,2.771025529117665,0.4888011232149729,30.450978393628297,1.2690032206234113e-168,1.376359241457062e-167,374.60595291370737,Basal_vs_LumA
SLC30A8,2.5379372838816137,0.8810272024667167,30.43006182796595,1.9711157062212232e-168,2.1286346719451657e-167,374.16608194957223,Basal_vs_LumA
MIR1273G,2.745133804137044,1.549844656787968,30.42150727662548,2.360020500465428e-168,2.543125539294642e-167,373.98621477696327,Basal_vs_LumA
CXCL13,2.426215423665137,6.64133183724379,30.40778567604613,3.1501983260855357e-168,3.3800411224093727e-167,373.69774607711634,Basal_vs_LumA
MIR1303,3.5664618900845224,1.6150030566678002,30.281983902701548,4.43833542394999e-167,4.731700878411503e-166,371.05534798468625,Basal_vs_LumA
MIR1273H,2.230630496849966,-0.09157591101367549,30.26383442847164,6.4985903125542246e-167,6.913393949525771e-166,370.6744763262709,Basal_vs_LumA
AF471215,1.8757280760243864,3.5482347876597693,30.255161171066167,7.797260155121133e-167,8.242346887020226e-166,370.49249681190474,Basal_vs_LumA
SNORA62,1.7076656235804701,-0.0014867204043887865,30.188569270131577,3.156048153406057e-166,3.3221559509537447e-165,369.0959599639201,Basal_vs_LumA
MYBPC1,3.47502814258498,0.5184511468223129,29.94941925406583,4.736772115728278e-164,4.9034908030313436e-163,364.0905240155839,Basal_vs_LumA
MIR4484,2.394451026514919,1.1383129189223402,29.869163896924285,2.536931819676395e-163,2.6100121601609003e-162,362.414288384344,Basal_vs_LumA
DSCAM-AS1,1.7346812761509747,2.359381547611478,29.865901548668326,2.71593239347255e-163,2.7884316154748976e-162,362.34618783429755,Basal_vs_LumA
DQ573287,1.4812683944223681,2.9546285484471024,29.83285716077474,5.4171221017941765e-163,5.538979654186275e-162,361.65656291654864,Basal_vs_LumA
SNAR-G1,5.061281439686432,6.869242383877403,29.787088184850305,1.408852297801817e-162,1.4346764743399357e-161,360.70188319184524,Basal_vs_LumA
MIR7110,2.184294567091628,-0.8703272697354629,29.717128459929874,6.065506263544129e-162,6.151629070531571e-161,359.24375066858204,Basal_vs_LumA
MIR5047,2.821158369660024,0.21755706803067354,29.67744501684358,1.3874858401787785e-161,1.404337894917792e-160,358.41726247470706,Basal_vs_LumA
MSMB,4.4556564635944085,1.1958835705427275,29.672877521878604,1.5260827807860354e-161,1.5414977583697326e-160,358.32216366580883,Basal_vs_LumA
MIR3653,3.551619894780837,0.6066047010613157,29.539545967522862,2.451880502893375e-160,2.466680586411846e-159,355.5487066553054,Basal_vs_LumA
MIR5703,1.690008964631258,4.795986728338376,29.518862667207515,3.7702784322311665e-160,3.785420112681894e-159,355.11892343081956,Basal_vs_LumA
MIR6751,1.7356605335789896,3.195149849940501,29.48125818562371,8.241282122023139e-160,8.24128212202314e-159,354.3378453676486,Basal_vs_LumA
TRNA_Ala,1.7220587813246322,1.4929025146728552,29.365711473804605,9.087407249865874e-159,9.051202440105453e-158,351.9403904431515,Basal_vs_LumA
CLIC6,2.854556193941599,0.599842047458256,29.355181440003232,1.1307254083123657e-158,1.1239815191971826e-157,351.72209729949907,Basal_vs_LumA
FABP7,1.9055192778034193,-0.2975048245459315,29.350419081936515,1.2481885882775404e-158,1.238282329640417e-157,351.6233817030775,Basal_vs_LumA
DQ588120,2.186675924446206,0.9739625193475898,29.324364241463304,2.143193908865958e-158,2.117780542357666e-157,351.08342603431265,Basal_vs_LumA
MIR6890,2.055029075816411,2.7680005953742275,29.258071142929712,8.473141453697833e-158,8.339706155214402e-157,349.71047431808915,Basal_vs_LumA
TRNA_Tyr,2.1402748588611287,2.340496516160925,29.224853399859825,1.6864263989525235e-157,1.6501236780357375e-156,349.02300857857404,Basal_vs_LumA
SLITRK6,1.6132105315612215,2.3706310815436487,29.113432661275894,1.6927864024239646e-156,1.6498892811149752e-155,346.71945119236943,Basal_vs_LumA
KRT5,1.6831144690810027,1.9100940126203476,29.0935565104869,2.5533753914295403e-156,2.4838282017797083e-155,346.3089104138712,Basal_vs_LumA
CLCA2,2.827306600826275,1.2542213311813837,29.088785832696843,2.818082518819941e-156,2.7360024454562532e-155,346.21038982897244,Basal_vs_LumA
MIR5691,1.4898137546518824,3.450686558434074,29.046418720226367,6.764985777051352e-156,6.5425394362198764e-155,345.3357526475138,Basal_vs_LumA
FLJ00385,1.704099800912079,-0.09987296550956734,29.045351336331528,6.91584713162712e-156,6.675528119331196e-155,345.3137242316337,Basal_vs_LumA
MIR4746,2.40655003804525,1.5610240408050187,29.00735421851214,1.5161007632300924e-155,1.4605980377939234e-154,344.5297708665471,Basal_vs_LumA
AY006115,2.2467864350125617,0.4044105700310765,28.947889500441683,5.173996774241049e-155,4.946459631205592e-154,343.3037696197598,Basal_vs_LumA
CBLN2,2.063766856003422,-0.6983782675855038,28.913242196490195,1.0573647841334717e-154,1.0050996046896119e-153,342.5899274420832,Basal_vs_LumA
STAC2,2.2889474506098324,1.1958791879259385,28.870468773572092,2.5539192108723768e-154,2.418484101204902e-153,341.7091628700181,Basal_vs_LumA
ST8SIA6-AS1,1.7371819575672236,3.666011739917049,28.82555695487788,6.44284150734181e-154,6.089642256466739e-153,340.7849635425066,Basal_vs_LumA
TRNA_Thr,1.573289520741692,3.1587415255028195,28.821876897104183,6.950159544115465e-154,6.556754286901383e-153,340.7092622087522,Basal_vs_LumA
SNORA71B,1.539114302865271,-0.22451410587047868,28.816077067417975,7.831940476514081e-154,7.374708546623429e-153,340.58996408191547,Basal_vs_LumA
