,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
KRT81,1.4499201565405078,0.12021423499050762,21.044683901668794,3.2513478051126246e-83,2.867149739958223e-82,178.54387471320362,Basal_vs_LumB
PON3,2.5748803104671762,1.062651952743816,20.92712394168536,1.9260349468754225e-82,1.6954532983058296e-81,176.7687703842655,Basal_vs_LumB
MIR7703,2.050050704462107,0.3124082989545091,20.853591951894327,5.847276822729429e-82,5.111255963924326e-81,175.66069694767515,Basal_vs_LumB
PGR,1.6355441513615632,2.0777111567912288,20.813392934535536,1.0722596164244332e-81,9.340240561188443e-81,175.05565829295935,Basal_vs_LumB
MIR650,1.7923050637513118,-0.38610300764797095,20.809298699197388,1.1405359527647732e-81,9.917703937084984e-81,174.9940647599131,Basal_vs_LumB
L12234,2.7873542177491153,0.20387806654316107,20.79811423111925,1.34999745876362e-81,1.1718727940656423e-80,174.8258335240109,Basal_vs_LumB
KRT17,3.5209795793589342,-0.6298501774605716,20.79659102757992,1.3813505944535416e-81,1.1970109137379043e-80,174.8029253680036,Basal_vs_LumB
CST4,1.443684088044916,-0.7621327241701291,20.788516583560263,1.560106524087916e-81,1.3495731177231108e-80,174.68150259795047,Basal_vs_LumB
CYP4Z2P,1.9357512250364102,-0.22588427666866093,20.77128520661188,2.022599428499806e-81,1.746631630828848e-80,174.42244905596013,Basal_vs_LumB
PSCA,1.3897332378004565,-1.3156168331173217,20.70286558014648,5.665168395287033e-81,4.866983157463086e-80,173.39478927797114,Basal_vs_LumB
CYP4F8,2.6171911355365483,1.276576551123264,20.682245486114276,7.724864238227929e-81,6.613753628619803e-80,173.08537490284547,Basal_vs_LumB
BC016831,1.3626767598690297,3.180464833901774,20.646422052414277,1.3235047393819869e-80,1.1273464560323569e-79,172.54815745616526,Basal_vs_LumB
EEF1A2,1.3390292462745013,-0.3245556782916267,20.625338958457935,1.8165985947467963e-80,1.544726696213262e-79,172.232186506133,Basal_vs_LumB
IGKV A18,1.6457801954618216,0.8350531637704749,20.57287556914947,3.992316592657102e-80,3.383319146319578e-79,171.4465558584412,Basal_vs_LumB
JA611314,2.2460369028373344,0.6930064416253433,20.56121103939095,4.7555777553688216e-80,4.023331434322184e-79,171.27200488208896,Basal_vs_LumB
GRPR,2.2184759643116583,-0.8565371193679485,20.559302165501492,4.8936749324926635e-80,4.133171395686371e-79,171.24344429626123,Basal_vs_LumB
